Date,direction,direction1,direction2
2017-04-30,16,40,43
2017-05-01,30,7,19
2017-05-02,9,6,28
2017-05-03,27,46,24
2017-05-04,21,6,20
2017-05-05,14,43,38
2017-05-06,16,20,38
2017-05-07,19,60,34
2017-05-08,25,40,6
2017-05-09,28,22,12
2017-05-10,24,14,38
2017-05-11,24,51,15
2017-05-12,13,38,26
2017-05-13,22,7,10
2017-05-14,25,36,5
2017-05-15,24,38,29
2017-05-16,30,13,21
2017-05-17,24,27,28
2017-05-18,19,45,30
2017-05-19,15,33,10
2017-05-20,24,45,40
2017-05-21,16,43,18
2017-05-22,28,60,38
2017-05-23,15,43,33
2017-05-24,19,21,45
2017-05-25,9,38,39
2017-05-26,14,51,22
2017-05-27,17,36,17
2017-05-28,26,13,7
2017-05-29,11,38,6
2017-05-30,10,31,23
2017-05-31,20,54,36
2017-06-01,13,39,34
2017-06-02,28,49,24
2017-06-03,16,37,11
2017-06-04,11,25,40
2017-06-05,10,14,45
2017-06-06,10,53,26
2017-06-07,9,6,8
2017-06-08,25,54,15
2017-06-09,21,54,33
2017-06-10,18,24,21
2017-06-11,27,59,44
2017-06-12,25,58,30
2017-06-13,29,36,31
2017-06-14,8,14,23
2017-06-15,25,18,5
2017-06-16,11,32,17
2017-06-17,6,46,16
2017-06-18,14,41,40
2017-06-19,21,35,42
2017-06-20,8,12,17
2017-06-21,26,6,6
2017-06-22,11,57,12
2017-06-23,28,31,38
2017-06-24,27,58,27
2017-06-25,28,38,43
2017-06-26,17,45,6
2017-06-27,14,51,8
2017-06-28,20,32,39
2017-06-29,12,52,30
2017-06-30,12,19,9
2017-07-01,28,28,44
2017-07-02,12,28,6
2017-07-03,18,18,7
2017-07-04,14,40,34
2017-07-05,11,39,38
2017-07-06,7,36,13
2017-07-07,12,51,35
2017-07-08,22,19,21
2017-07-09,22,57,26
2017-07-10,21,46,12
2017-07-11,9,57,5
2017-07-12,11,28,42
2017-07-13,7,53,34
2017-07-14,24,13,29
2017-07-15,10,60,20
2017-07-16,12,52,10
2017-07-17,27,53,33
2017-07-18,15,35,12
2017-07-19,10,47,28
2017-07-20,16,28,32
2017-07-21,13,24,40
2017-07-22,6,18,42
2017-07-23,5,12,7
2017-07-24,27,54,25
2017-07-25,8,23,39
2017-07-26,28,7,38
2017-07-27,10,18,21
2017-07-28,8,24,28
2017-07-29,20,23,7
2017-07-30,24,50,24
2017-07-31,8,44,7
2017-08-01,13,36,36
2017-08-02,23,52,5
2017-08-03,10,54,33
2017-08-04,10,9,16
2017-08-05,15,46,44
2017-08-06,30,45,42
2017-08-07,8,42,12
2017-08-08,8,47,43
2017-08-09,19,16,15
2017-08-10,10,40,9
2017-08-11,28,55,6
2017-08-12,14,26,21
2017-08-13,25,32,26
2017-08-14,30,10,8
2017-08-15,19,5,32
2017-08-16,14,17,9
2017-08-17,30,14,8
2017-08-18,26,60,30
2017-08-19,9,15,8
2017-08-20,25,9,17
2017-08-21,16,34,8
2017-08-22,15,54,32
2017-08-23,24,9,36
2017-08-24,17,42,11
2017-08-25,11,19,8
2017-08-26,16,27,19
2017-08-27,29,21,7
2017-08-28,19,21,14
2017-08-29,17,32,44
2017-08-30,22,52,43
2017-08-31,14,43,5
2017-09-01,8,39,35
2017-09-02,11,48,34
2017-09-03,14,46,17
2017-09-04,25,8,45
2017-09-05,11,54,10
2017-09-06,11,24,11
2017-09-07,10,53,44
2017-09-08,24,6,33
2017-09-09,25,10,28
2017-09-10,24,8,5
2017-09-11,10,35,10
2017-09-12,21,5,14
2017-09-13,25,55,40
2017-09-14,19,28,40
2017-09-15,8,41,18
2017-09-16,20,43,40
2017-09-17,21,48,12
2017-09-18,18,45,23
2017-09-19,5,21,27
2017-09-20,17,38,44
2017-09-21,26,54,27
2017-09-22,6,28,14
2017-09-23,13,17,15
2017-09-24,8,39,33
2017-09-25,8,14,35
2017-09-26,12,56,44
2017-09-27,13,55,25
2017-09-28,6,9,43
2017-09-29,29,22,16
2017-09-30,17,37,32
2017-01-01,7,54,34
2017-01-02,12,35,28
2017-01-03,5,46,27
2017-01-04,28,39,8
2017-01-05,6,55,40
2017-01-06,15,43,28
2017-01-07,17,54,28
2017-01-08,8,47,18
2017-01-09,30,48,21
2017-01-10,7,35,28
2017-01-11,5,50,20
2017-01-12,5,30,43
2017-01-13,30,25,39
2017-01-14,26,9,28
2017-01-15,28,36,12
2017-01-16,7,21,18
2017-01-17,23,55,37
2017-01-18,11,6,31
2017-01-19,9,16,8
2017-01-20,10,60,11
2017-01-21,23,34,42
2017-01-22,20,21,24
2017-01-23,17,30,9
2017-01-24,23,17,6
2017-01-25,27,53,18
2017-01-26,5,41,17
2017-01-27,30,14,36
2017-01-28,18,40,25
2017-01-29,18,40,19
2017-01-30,11,33,39
2017-01-31,15,34,30
2017-02-01,15,28,41
2017-02-02,21,18,18
2017-02-03,11,22,44
2017-02-04,23,15,12
2017-02-05,18,43,20
2017-02-06,26,60,40
2017-02-07,5,15,21
2017-02-08,25,14,16
2017-02-09,19,49,24
2017-02-10,25,32,13
2017-02-11,27,53,40
2017-02-12,30,19,16
2017-02-13,24,34,37
2017-02-14,21,35,13
2017-02-15,27,10,18
2017-02-16,12,43,26
2017-02-17,15,30,16
2017-02-18,19,20,22
2017-02-19,25,29,13
2017-02-20,13,6,5
2017-02-21,22,13,42
2017-02-22,27,15,10
2017-02-23,12,20,45
2017-02-24,6,16,18
2017-02-25,6,17,32
2017-02-26,11,28,12
2017-02-27,26,54,42
2017-02-28,26,41,20
2017-03-01,20,48,20
2017-03-02,10,27,18
2017-03-03,6,12,6
2017-03-04,30,22,41
2017-03-05,30,27,14
2017-03-06,23,5,45
2017-03-07,23,10,16
2017-03-08,24,31,20
2017-03-09,25,53,28
2017-03-10,20,24,34
2017-03-11,27,41,42
2017-03-12,23,22,42
2017-03-13,7,44,21
2017-03-14,27,31,10
2017-03-15,7,17,37
2017-03-16,6,54,21
2017-03-17,29,44,44
2017-03-18,9,52,25
2017-03-19,11,30,25
2017-03-20,17,43,38
2017-03-21,17,21,14
2017-03-22,9,30,12
2017-03-23,9,46,11
2017-03-24,5,9,31
2017-03-25,13,21,25
2017-03-26,11,34,27
2017-03-27,14,49,36
2017-03-28,5,30,36
2017-03-29,11,35,40
2017-03-30,25,44,44
2017-03-31,15,54,32
2017-04-01,15,46,24
2017-04-02,11,23,22
2017-04-03,23,58,17
2017-04-04,13,27,30
2017-04-05,26,22,17
2017-04-06,10,41,25
2017-04-07,17,29,33
2017-04-08,11,47,6
2017-04-09,30,48,10
2017-04-10,14,33,14
2017-04-11,25,34,41
2017-04-12,7,25,38
2017-04-13,23,8,30
2017-04-14,28,35,7
2017-04-15,6,48,27
2017-04-16,19,22,17
2017-04-17,13,44,13
2017-04-18,6,21,45
2017-04-19,6,29,43
2017-04-20,8,43,42
2017-04-21,9,14,45
2017-04-22,6,40,30
2017-04-23,28,51,33
2017-04-24,8,36,5
2017-04-25,28,48,21
2017-04-26,13,11,29
2017-04-27,29,38,35
2017-04-28,16,21,10
2017-04-29,10,50,8
2017-04-30,19,9,15
2017-05-01,14,53,26
2017-05-02,20,6,21
2017-05-03,22,17,20
2017-05-04,24,17,43
2017-05-05,24,55,43
2017-05-06,20,44,44
2017-05-07,19,45,38
2017-05-08,26,20,35
2017-05-09,15,39,22
2017-05-10,16,52,27
2017-05-11,11,44,19
2017-05-12,27,46,37
2017-05-13,12,24,42
2017-05-14,8,33,14
2017-05-15,5,27,19
2017-05-16,25,39,44
2017-05-17,11,24,14
2017-05-18,30,25,20
2017-05-19,8,9,18
2017-05-20,19,46,29
2017-05-21,21,11,35
2017-05-22,28,38,34
2017-05-23,23,33,12
2017-05-24,21,22,35
2017-05-25,25,23,38
2017-05-26,13,45,44
2017-05-27,8,36,19
2017-05-28,22,48,36
2017-05-29,8,7,15
2017-05-30,8,58,29
2017-05-31,20,28,23
2017-06-01,20,60,10
2017-06-02,17,38,38
2017-06-03,17,28,34
2017-06-04,23,40,8
2017-06-05,20,25,11
2017-06-06,14,37,30
2017-06-07,26,53,7
2017-06-08,16,50,22
2017-06-09,25,24,7
2017-06-10,30,20,19
2017-06-11,26,31,15
2017-06-12,7,35,6
2017-06-13,29,26,11
2017-06-14,9,20,9
2017-06-15,11,46,27
2017-06-16,12,45,30
2017-06-17,20,49,18
2017-06-18,19,47,5
2017-06-19,13,40,44
2017-06-20,17,19,28
2017-06-21,22,36,44
2017-06-22,25,40,18
2017-06-23,19,28,30
2017-06-24,21,38,34
2017-06-25,16,19,15
2017-06-26,7,60,18
2017-06-27,7,27,9
2017-06-28,25,15,6
2017-06-29,22,27,13
2017-06-30,12,59,9
2017-07-01,30,8,29
2017-07-02,16,49,23
2017-07-03,26,43,15
2017-07-04,27,46,44
2017-07-05,16,21,21
2017-07-06,6,27,30
2017-07-07,27,57,33
2017-07-08,10,29,36
2017-07-09,7,53,22
2017-07-10,23,5,18
2017-07-11,19,31,12
2017-07-12,18,24,28
2017-07-13,10,34,5
2017-07-14,20,24,31
2017-07-15,17,32,7
2017-07-16,8,19,8
2017-07-17,12,24,30
2017-07-18,10,17,33
2017-07-19,18,32,11
2017-07-20,10,15,6
2017-07-21,23,37,38
2017-07-22,27,33,42
2017-07-23,18,18,42
2017-07-24,29,32,11
2017-07-25,25,10,29
2017-07-26,26,41,41
2017-07-27,30,8,38
2017-07-28,25,57,26
2017-07-29,21,9,28
2017-07-30,20,40,38
2017-07-31,27,20,8
2017-08-01,27,54,8
2017-08-02,17,5,12
2017-08-03,28,57,34
2017-08-04,20,60,16
2017-08-05,13,55,44
2017-08-06,26,52,26
2017-08-07,10,44,42
2017-08-08,7,27,25
2017-08-09,5,60,35
2017-08-10,14,31,36
2017-08-11,24,36,41
2017-08-12,10,52,36
2017-08-13,7,34,23
2017-08-14,14,21,37
2017-08-15,10,29,20
2017-08-16,9,54,9
2017-08-17,29,13,43
2017-08-18,23,42,42
2017-08-19,8,18,32
2017-08-20,25,56,8
2017-08-21,6,50,34
2017-08-22,19,22,20
2017-08-23,29,34,44
2017-08-24,5,43,19
2017-08-25,28,19,29
2017-08-26,25,20,36
2017-08-27,14,7,42
2017-08-28,13,11,17
2017-08-29,10,20,21
2017-08-30,9,19,32
2017-08-31,26,33,39
2017-09-01,28,7,6
2017-09-02,26,55,41
2017-09-03,25,39,10
2017-09-04,21,25,33
2017-09-05,25,37,45
2017-09-06,16,16,27
2017-09-07,6,7,34
2017-09-08,12,16,9
2017-09-09,24,33,45
2017-09-10,21,30,34
2017-09-11,14,51,9
2017-09-12,15,34,38
2017-09-13,24,43,18
2017-09-14,8,7,29
2017-09-15,23,32,13
2017-09-16,23,32,22
2017-09-17,23,46,30
2017-09-18,30,25,25
2017-09-19,28,30,13
2017-09-20,17,20,42
2017-09-21,17,20,23
2017-09-22,14,14,36
2017-09-23,28,7,23
2017-09-24,7,11,12
2017-09-25,26,43,26
2017-09-26,7,48,27
2017-09-27,28,39,17
2017-09-28,14,49,32
2017-09-29,25,9,22
2017-09-30,11,48,43
2016-01-01,15,10,36
2016-01-02,18,22,18
2016-01-03,14,27,12
2016-01-04,6,22,43
2016-01-05,11,9,23
2016-01-06,23,44,42
2016-01-07,28,27,6
2016-01-08,12,11,29
2016-01-09,29,26,5
2016-01-10,13,55,40
2016-01-11,20,16,38
2016-01-12,22,31,14
2016-01-13,18,16,28
2016-01-14,24,5,44
2016-01-15,25,16,13
2016-01-16,30,31,12
2016-01-17,9,47,24
2016-01-18,8,14,30
2016-01-19,5,8,8
2016-01-20,6,49,30
2016-01-21,16,29,37
2016-01-22,13,11,31
2016-01-23,12,42,35
2016-01-24,7,12,18
2016-01-25,21,6,35
2016-01-26,16,50,21
2016-01-27,13,32,18
2016-01-28,21,25,38
2016-01-29,6,17,39
2016-01-30,28,32,34
2016-01-31,10,44,23
2016-02-01,16,23,34
2016-02-02,26,17,24
2016-02-03,21,24,9
2016-02-04,27,46,44
2016-02-05,8,38,35
2016-02-06,13,40,20
2016-02-07,12,32,23
2016-02-08,28,43,32
2016-02-09,15,36,28
2016-02-10,21,31,14
2016-02-11,7,20,36
2016-02-12,12,18,41
2016-02-13,12,45,15
2016-02-14,10,19,37
2016-02-15,26,38,7
2016-02-16,27,40,29
2016-02-17,20,48,21
2016-02-18,16,56,44
2016-02-19,7,14,22
2016-02-20,12,30,22
2016-02-21,7,11,39
2016-02-22,12,25,19
2016-02-23,14,28,24
2016-02-24,13,28,7
2016-02-25,26,11,18
2016-02-26,20,6,37
2016-02-27,20,50,19
2016-02-28,19,42,41
2016-02-29,8,39,44
2016-03-01,25,49,37
2016-03-02,23,53,38
2016-03-03,6,49,43
2016-03-04,13,41,30
2016-03-05,23,14,44
2016-03-06,24,45,19
2016-03-07,7,36,44
2016-03-08,14,52,42
2016-03-09,14,9,34
2016-03-10,27,19,30
2016-03-11,13,19,9
2016-03-12,29,33,27
2016-03-13,22,37,12
2016-03-14,6,58,20
2016-03-15,17,50,43
2016-03-16,10,54,44
2016-03-17,30,42,32
2016-03-18,6,18,7
2016-03-19,29,28,41
2016-03-20,15,43,30
2016-03-21,27,16,42
2016-03-22,9,45,12
2016-03-23,22,31,16
2016-03-24,18,50,30
2016-03-25,12,16,32
2016-03-26,13,9,31
2016-03-27,22,24,20
2016-03-28,22,27,10
2016-03-29,24,13,34
2016-03-30,10,21,24
2016-03-31,6,7,13
2016-04-01,27,52,29
2016-04-02,9,10,28
2016-04-03,21,12,24
2016-04-04,17,36,6
2016-04-05,18,6,5
2016-04-06,17,7,31
2016-04-07,5,54,14
2016-04-08,15,30,45
2016-04-09,10,38,29
2016-04-10,14,17,32
2016-04-11,22,25,30
2016-04-12,14,38,13
2016-04-13,29,27,26
2016-04-14,19,29,37
2016-04-15,7,60,13
2016-04-16,30,11,8
2016-04-17,14,8,41
2016-04-18,16,8,9
2016-04-19,7,34,32
2016-04-20,10,31,29
2016-04-21,16,32,7
2016-04-22,17,22,39
2016-04-23,9,18,39
2016-04-24,25,25,13
2016-04-25,21,30,41
2016-04-26,24,20,28
2016-04-27,27,9,18
2016-04-28,29,33,22
2016-04-29,17,28,14
2016-04-30,21,31,32
2016-05-01,5,34,38
2016-05-02,13,25,38
2016-05-03,13,21,5
2016-05-04,6,17,42
2016-05-05,5,58,14
2016-05-06,6,60,37
2016-05-07,27,40,20
2016-05-08,12,59,19
2016-05-09,16,8,12
2016-05-10,23,60,8
2016-05-11,23,15,28
2016-05-12,26,50,8
2016-05-13,26,9,24
2016-05-14,27,38,38
2016-05-15,17,39,14
2016-05-16,8,52,14
2016-05-17,29,29,21
2016-05-18,11,49,17
2016-05-19,6,27,27
2016-05-20,7,22,21
2016-05-21,26,49,20
2016-05-22,18,28,22
2016-05-23,27,49,45
2016-05-24,8,33,31
2016-05-25,18,17,34
2016-05-26,30,43,7
2016-05-27,10,49,43
2016-05-28,12,6,19
2016-05-29,18,9,18
2016-05-30,25,45,36
2016-05-31,11,43,19
2016-06-01,9,57,27
2016-06-02,26,12,33
2016-06-03,20,23,44
2016-06-04,24,16,26
2016-06-05,30,53,13
2016-06-06,28,27,22
2016-06-07,28,31,25
2016-06-08,6,16,11
2016-06-09,28,39,23
2016-06-10,8,49,15
2016-06-11,6,40,15
2016-06-12,15,59,25
2016-06-13,8,36,38
2016-06-14,15,23,10
2016-06-15,21,49,29
2016-06-16,5,24,20
2016-06-17,28,15,26
2016-06-18,19,39,28
2016-06-19,29,59,28
2016-06-20,25,59,35
2016-06-21,17,33,35
2016-06-22,12,42,40
2016-06-23,9,14,36
2016-06-24,26,29,18
2016-06-25,6,39,38
2016-06-26,12,12,31
2016-06-27,25,35,31
2016-06-28,21,24,20
2016-06-29,24,53,37
2016-06-30,27,46,8
2016-07-01,5,39,39
2016-07-02,10,45,5
2016-07-03,7,24,20
2016-07-04,19,29,11
2016-07-05,30,13,17
2016-07-06,20,46,20
2016-07-07,29,31,34
2016-07-08,12,40,6
2016-07-09,27,27,8
2016-07-10,29,60,27
2016-07-11,19,43,31
2016-07-12,26,16,35
2016-07-13,29,48,15
2016-07-14,8,33,39
2016-07-15,18,16,42
2016-07-16,6,31,15
2016-07-17,17,47,19
2016-07-18,26,51,18
2016-07-19,10,43,34
2016-07-20,11,14,35
2016-07-21,24,16,18
2016-07-22,28,39,30
2016-07-23,8,57,14
2016-07-24,27,5,20
2016-07-25,7,60,34
2016-07-26,29,6,45
2016-07-27,30,59,18
2016-07-28,22,24,11
2016-07-29,16,7,33
2016-07-30,21,17,12
2016-07-31,27,14,11
2016-08-01,25,16,27
2016-08-02,11,50,43
2016-08-03,18,27,34
2016-08-04,15,46,32
2016-08-05,17,37,20
2016-08-06,9,33,31
2016-08-07,14,31,29
2016-08-08,20,36,15
2016-08-09,29,52,23
2016-08-10,14,30,13
2016-08-11,17,47,34
2016-08-12,28,38,38
2016-08-13,12,51,11
2016-08-14,13,20,42
2016-08-15,21,42,28
2016-08-16,20,8,24
2016-08-17,16,33,36
2016-08-18,5,48,36
2016-08-19,24,19,35
2016-08-20,30,16,16
2016-08-21,5,25,44
2016-08-22,5,43,29
2016-08-23,13,54,40
2016-08-24,22,24,8
2016-08-25,12,8,38
2016-08-26,8,25,10
2016-08-27,8,28,20
2016-08-28,5,19,7
2016-08-29,17,7,44
2016-08-30,13,11,34
2016-08-31,14,40,15
2016-09-01,10,15,29
2016-09-02,5,10,40
2016-09-03,16,59,17
2016-09-04,15,34,44
2016-09-05,21,53,43
2016-09-06,14,11,37
2016-09-07,9,11,27
2016-09-08,20,33,27
2016-09-09,15,21,14
2016-09-10,15,11,23
2016-09-11,22,22,40
2016-09-12,19,55,11
2016-09-13,21,52,26
2016-09-14,20,22,15
2016-09-15,30,53,25
2016-09-16,6,27,23
2016-09-17,12,46,29
2016-09-18,6,36,10
2016-09-19,19,30,8
2016-09-20,29,29,30
2016-09-21,22,51,41
2016-09-22,17,23,28
2016-09-23,16,32,32
2016-09-24,14,25,17
2016-09-25,8,23,25
2016-09-26,18,5,18
2016-09-27,28,27,36
2016-09-28,21,50,21
2016-09-29,12,27,18
2016-09-30,19,26,30
2016-10-01,22,24,26
2016-10-02,28,57,44
2016-10-03,5,22,29
2016-10-04,13,53,14
2016-10-05,5,34,23
2016-10-06,23,47,9
2016-10-07,22,13,7
2016-10-08,29,23,11
2016-10-09,28,9,15
2016-10-10,18,23,40
2016-10-11,24,12,40
2016-10-12,15,38,21
2016-10-13,20,23,38
2016-10-14,22,58,13
2016-10-15,19,12,31
2016-10-16,21,20,18
2016-10-17,16,31,21
2016-10-18,18,31,17
2016-10-19,24,9,10
2016-10-20,14,32,19
2016-10-21,5,29,6
2016-10-22,6,8,12
2016-10-23,21,18,43
2016-10-24,16,26,33
2016-10-25,23,10,19
2016-10-26,20,6,23
2016-10-27,15,30,35
2016-10-28,7,29,33
2016-10-29,30,21,41
2016-10-30,21,24,40
2016-10-31,16,37,16
2016-11-01,22,31,7
2016-11-02,6,27,16
2016-11-03,15,45,36
2016-11-04,25,49,32
2016-11-05,12,42,29
2016-11-06,22,36,13
2016-11-07,21,10,22
2016-11-08,27,48,37
2016-11-09,9,35,12
2016-11-10,24,58,29
2016-11-11,29,38,21
2016-11-12,6,41,11
2016-11-13,9,11,42
2016-11-14,14,51,19
2016-11-15,9,24,9
2016-11-16,23,14,31
2016-11-17,7,45,7
2016-11-18,29,28,8
2016-11-19,19,11,31
2016-11-20,13,36,33
2016-11-21,15,43,40
2016-11-22,28,45,42
2016-11-23,19,48,28
2016-11-24,27,34,14
2016-11-25,29,44,23
2016-11-26,20,37,16
2016-11-27,28,60,24
2016-11-28,16,38,18
2016-11-29,16,51,43
2016-11-30,20,58,24
2016-12-01,15,18,5
2016-12-02,12,30,43
2016-12-03,12,51,27
2016-12-04,12,48,9
2016-12-05,11,38,43
2016-12-06,24,31,26
2016-12-07,25,21,30
2016-12-08,27,42,32
2016-12-09,21,17,27
2016-12-10,14,53,25
2016-12-11,23,29,35
2016-12-12,21,27,9
2016-12-13,8,6,41
2016-12-14,15,9,43
2016-12-15,17,50,43
2016-12-16,25,43,36
2016-12-17,28,33,25
2016-12-18,28,28,13
2016-12-19,5,42,40
2016-12-20,7,25,45
2016-12-21,18,45,5
2016-12-22,15,29,14
2016-12-23,12,11,34
2016-12-24,12,40,27
2016-12-25,7,51,24
2016-12-26,13,32,45
2016-12-27,7,59,18
2016-12-28,8,55,41
2016-12-29,23,52,10
2016-12-30,27,35,35
2016-12-31,24,10,24
