IATA,AIRPORT,CITY,STATE,COUNTRY,LATTITUDE,LONGITUDE,FLIGHTS
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,660
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,176
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,378
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333,313
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,549
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,478
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,681
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,442
RNO,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,417
OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,581
PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,207
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,303
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,677
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,636
SDF,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736,657
ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944,239
LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556,332
DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,424
OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,677
ORF,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,539
DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375,547
ROC,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,646
XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111,413
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,513
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,686
JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889,277
ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,333
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,239
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,507
MAF,Midland International,Midland,TX,USA,31.94252778,-102.2019139,690
BTR,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,USA,30.53316083,-91.14963444,649
TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583,319
COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025,206
PNS,Pensacola Regional,Pensacola,FL,USA,30.47330556,-87.18744444,587
SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056,693
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,464
MHT,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,619
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,210
SRQ,Sarasota Bradenton International,Sarasota,FL,USA,27.39533333,-82.55411111,664
CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528,148
HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944,246
CAE,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944,281
LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655,573
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733,394
GEG,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425,153
MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333,519
ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583,182
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,431
DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222,479
MDT,Harrisburg Intl,Harrisburg,PA,USA,40.19349528,-76.76340361,564
PWM,Portland International Jetport,Portland,ME,USA,43.64616667,-70.30875,591
MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611,554
PHF,Newport News/Williamsburg International,Newport News,VA,USA,37.13189556,-76.4929875,692
HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444,601
MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.8429478,121
GRR,Kent County International,Grand Rapids,MI,USA,42.88081972,-85.52276778,668
ECP,Florida Beach,Beaches,FL,USA,30.448674,-84.550781,623
YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.6059722,273
ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845,533
TLH,Tallahassee Regional,Tallahassee,FL,USA,30.39652778,-84.35033333,508
GPT,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,USA,30.40728028,-89.07009278,144
RAP,Rapid City Regional,Rapid City,SD,USA,44.04532139,-103.0573708,127
LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111,542
ILM,Wilmington International,Wilmington,NC,USA,34.27061111,-77.90255556,447
LEX,Blue Grass ,Lexington,KY,USA,38.03697222,-84.60538889,178
MSN,Dane County Regional,Madison,WI,USA,43.13985778,-89.33751361,562
EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856,377
SAV,Savannah International,Savannah,GA,USA,32.12758333,-81.20213889,228
LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778,656
CID,Eastern Iowa ,Cedar Rapids,IA,USA,41.88458833,-91.71087222,322
GSP,Greenville-Spartanburg,Greer,SC,USA,34.89566722,-82.21885833,133
GSO,Piedmont Triad International,Greensboro,NC,USA,36.09774694,-79.9372975,122
ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194,692
MLI,Quad City,Moline,IL,USA,41.44852639,-90.50753917,603
AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556,472
CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556,509
BMI,Central Illinois Regional,Bloomington,IL,USA,40.47798556,-88.91595278,312
HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389,348
VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254,402
SHV,Shreveport Regional,Shreveport,LA,USA,32.4466275,-93.82559833,578
FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889,369
HDN,Yampa Valley,Hayden,CO,USA,40.48118028,-107.2176597,130
MFR,Rogue Valley International,Medford,OR,USA,42.37422778,-122.8734978,631
PIA,Greater Peoria Regional,Peoria,IL,USA,40.66424333,-89.69330556,219
LRD,Laredo International,Laredo,TX,USA,27.54373861,-99.46154361,330
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,183
ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722,637
SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806,537
FNT,Bishop,Flint,MI,USA,42.96550333,-83.74345639,460
TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056,269
GRK,Robert Gray AAF,Killeen,TX,USA,31.06489778,-97.82779778,673
CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583,291
GRB,Austin Straubel International,Green Bay,WI,USA,44.48507333,-88.12959,660
RDM,Roberts ,Redmond,OR,USA,44.25406722,-121.1499633,564
CSG,Columbus Metropolitan,Columbus,GA,USA,32.51633333,-84.93886111,134
SBN,South Bend Regional,South Bend,IN,USA,41.70895361,-86.31847417,175
BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.2227778,196
MYR,Myrtle Beach International,Myrtle Beach,SC,USA,33.67975,-78.92833333,482
MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339,697
CMI,University of Illinois-Willard,Champaign/Urbana,IL,USA,40.03925,-88.27805556,122
ROA,Roanoke Regional/ Woodrum ,Roanoke,VA,USA,37.32546833,-79.97542833,509
EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953,478
JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389,540
BZN,Gallatin ,Bozeman,MT,USA,45.77690139,-111.1530072,290
GJT,Walker ,Grand Junction,CO,USA,39.1224125,-108.5267347,254
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,233
EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667,495
GUC,Gunnison County,Gunnison,CO,USA,38.53396333,-106.9331817,551
IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51455556,-112.0701667,122
FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389,283
SPI,Capital,Springfield,IL,USA,39.84395194,-89.67761861,545
MFE,McAllen Miller International,McAllen,TX,USA,26.17583333,-98.23861111,321
RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019,489
GFK,Grand Forks International,Grand Forks,ND,USA,47.949255,-97.17611111,439
FSD,Joe Foss ,Sioux Falls,SD,USA,43.58135111,-96.74170028,276
TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356,191
SMX,Santa Maria Pub/Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825,180
PIH,Pocatello Regional,Pocatello,ID,USA,42.91130556,-112.5958611,579
DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889,172
OAJ,Albert J Ellis,Jacksonville,NC,USA,34.82916444,-77.61213778,468
MTJ,Montrose Regional,Montrose,CO,USA,38.50886722,-107.8938333,344
BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.7467222,696
CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.4644661,165
TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235,268
MLU,Monroe Regional,Monroe,LA,USA,32.51086556,-92.03768778,672
PSC,Tri-Cities,Pasco,WA,USA,46.26468028,-119.1190292,159
MHK,Manhattan Regional,Manhattan,KS,USA,39.14096722,-96.67083278,569
AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611,224
OTH,North Bend Muni,North Bend,OR,USA,43.41713889,-124.2460278,256
SAF,Santa Fe Municipal,Santa Fe,NM,USA,35.61677778,-106.0881389,176
LMT,Klamath Falls International,Klamath Falls,OR,USA,42.15614361,-121.7332081,659
SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833,487
CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,38.13863889,-78.45286111,188
VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222,658
CWA,Central Wisconsin,Mosinee,WI,USA,44.77761917,-89.66677944,676
IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122,321
ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189,632
BQK,Glynco Jetport,Brunswick,GA,USA,31.25902778,-81.46630556,591
LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925,261
FWA,Fort Wayne International,Fort Wayne,IN,USA,40.97846583,-85.19514639,660
COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.0237961,516
PAH,Barkley Regional,Paducah,KY,USA,37.06083333,-88.77375,461
SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.6423931,687
AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675,268
GTR,Golden Triangle Regional,Columbus-Starkville-West Point,MS,USA,33.45033444,-88.59136861,174
GCC,Gillette-Campbell County,Gillette,WY,USA,44.34889806,-105.5393614,449
EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444,534
AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611,308
FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111,593
TYR,Tyler Pounds ,Tyler,TX,USA,32.35413889,-95.40238611,640
HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503,686
GTF,Great Falls Intl,Great Falls,MT,USA,47.48200194,-111.3706853,561
MEI,Key ,Meridian,MS,USA,32.33313333,-88.75120556,665
MQT,Marquette County Airport,,,USA,46.353639,-87.395361,305
TEX,Telluride Regional,Telluride,CO,USA,37.95375861,-107.90848,154
CHA,Lovell ,Chattanooga,TN,USA,35.03526833,-85.20378778,470
LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37449806,-117.0153944,337
CDC,Cedar City Muni,Cedar City,UT,USA,37.70097028,-113.098575,151
ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,252
BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125,639
FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.2550694,529
MLB,Melbourne International ,Melbourne,FL,USA,28.10275,-80.64580556,662
DAB,Daytona Beach International,Daytona Beach,FL,USA,29.17991667,-81.05805556,193
ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167,417
DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861,535
CYS,Cheyenne,Cheyenne,WY,USA,41.1557225,-104.8118381,693
RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA,41.5942175,-109.0651928,297
LWB,Greenbrier Valley,Lewisburg,WV,USA,37.85830556,-80.39947222,502
CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,553
BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.5375278,670
MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62404861,-118.8377722,271
ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556,475
BKG,Branson Airport,Hollister,MO,USA,36.385913,-92.548828,158
PIE,St. Petersburg-Clearwater International,St. Petersburg,FL,USA,27.91076333,-82.68743944,276
SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333,291
FAY,Fayetteville Municipal,Fayetteville,NC,USA,34.99147222,-78.88,423
EAU,Chippewa Valley Regional,Eau Claire,WI,USA,44.86525722,-91.48507194,301
DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722,634
RST,Rochester International,Rochester,MN,USA,43.90882639,-92.49798722,306
UTM,Tunica Municipal Airport,Tunica,MS,USA,34.681499,-90.348816,237
BIL,Billings Logan Intl,Billings,MT,USA,45.8076625,-108.5428611,163
