Date,AAPL.Open,AAPL.High,Max,Min
1/29/2016,SLC,Salt Lake City Intl,41,5
2/1/2016,SLC,Salt Lake City Intl,31,12
2/3/2016,SLC,Salt Lake City Intl,37,7
2/5/2016,SLC,Salt Lake City Intl,40,12
2/7/2016,SLC,Salt Lake City Intl,32,1
2/9/2016,SLC,Salt Lake City Intl,49,12
2/11/2016,SLC,Salt Lake City Intl,32,10
2/13/2016,SLC,Salt Lake City Intl,42,10
2/15/2016,SLC,Salt Lake City Intl,38,11
2/17/2016,SLC,Salt Lake City Intl,40,17
2/19/2016,SLC,Salt Lake City Intl,32,12
2/21/2016,SLC,Salt Lake City Intl,40,11
2/23/2016,SLC,Salt Lake City Intl,44,12
2/25/2016,SLC,Salt Lake City Intl,50,18
2/27/2016,SLC,Salt Lake City Intl,26,13
2/29/2016,SLC,Salt Lake City Intl,32,12
1/1/2016,TPA,Tampa International ,40,15
1/3/2016,TPA,Tampa International ,28,19
1/5/2016,TPA,Tampa International ,44,11
1/7/2016,TPA,Tampa International ,42,10
1/9/2016,TPA,Tampa International ,35,17
1/11/2016,TPA,Tampa International ,30,10
1/13/2016,TPA,Tampa International ,34,2
1/15/2016,TPA,Tampa International ,28,19
1/17/2016,TPA,Tampa International ,45,10
1/19/2016,TPA,Tampa International ,32,17
1/21/2016,TPA,Tampa International ,31,6
1/23/2016,TPA,Tampa International ,30,18
1/25/2016,TPA,Tampa International ,32,6
1/27/2016,TPA,Tampa International ,44,13
1/29/2016,TPA,Tampa International ,25,16
2/1/2016,TPA,Tampa International ,37,19
2/3/2016,TPA,Tampa International ,42,10
2/5/2016,TPA,Tampa International ,49,17
2/7/2016,TPA,Tampa International ,26,16
2/9/2016,TPA,Tampa International ,45,11
2/11/2016,TPA,Tampa International ,38,14
2/13/2016,TPA,Tampa International ,28,11
2/15/2016,TPA,Tampa International ,33,9
2/17/2016,TPA,Tampa International ,39,13
2/19/2016,TPA,Tampa International ,30,17
2/21/2016,TPA,Tampa International ,31,10
2/23/2016,TPA,Tampa International ,30,11
2/25/2016,TPA,Tampa International ,39,15
2/27/2016,TPA,Tampa International ,31,10
2/29/2016,TPA,Tampa International ,50,10
1/1/2016,EWR,Newark Intl,31,13
1/3/2016,EWR,Newark Intl,47,10
1/5/2016,EWR,Newark Intl,32,14
1/7/2016,EWR,Newark Intl,50,19
1/9/2016,EWR,Newark Intl,40,4
1/11/2016,EWR,Newark Intl,45,14
1/13/2016,EWR,Newark Intl,45,10
1/15/2016,EWR,Newark Intl,31,15
1/17/2016,EWR,Newark Intl,35,15
1/19/2016,EWR,Newark Intl,28,16
1/21/2016,EWR,Newark Intl,35,7
1/23/2016,EWR,Newark Intl,34,19
1/25/2016,EWR,Newark Intl,36,3
1/27/2016,EWR,Newark Intl,40,13
1/29/2016,EWR,Newark Intl,33,8
2/1/2016,EWR,Newark Intl,39,12
2/3/2016,EWR,Newark Intl,29,15
2/5/2016,EWR,Newark Intl,32,16
2/7/2016,EWR,Newark Intl,45,6
2/9/2016,EWR,Newark Intl,47,17
2/11/2016,EWR,Newark Intl,34,17
2/13/2016,EWR,Newark Intl,34,15
2/15/2016,EWR,Newark Intl,34,3
2/17/2016,EWR,Newark Intl,28,12
2/19/2016,EWR,Newark Intl,28,9
2/21/2016,EWR,Newark Intl,37,11
2/23/2016,EWR,Newark Intl,28,4
2/25/2016,EWR,Newark Intl,41,10
2/27/2016,EWR,Newark Intl,35,12
2/29/2016,EWR,Newark Intl,41,12
1/1/2016,LAS,McCarran International,42,11
1/3/2016,LAS,McCarran International,30,10
1/5/2016,LAS,McCarran International,33,9
1/7/2016,LAS,McCarran International,30,17
1/9/2016,LAS,McCarran International,38,10
1/11/2016,LAS,McCarran International,50,20
1/13/2016,LAS,McCarran International,26,14
1/15/2016,LAS,McCarran International,40,10
1/17/2016,LAS,McCarran International,39,12
1/19/2016,LAS,McCarran International,38,10
1/21/2016,LAS,McCarran International,37,15
1/23/2016,LAS,McCarran International,39,12
1/25/2016,LAS,McCarran International,33,18
1/27/2016,LAS,McCarran International,37,13
1/29/2016,LAS,McCarran International,33,3
2/1/2016,LAS,McCarran International,44,13
2/3/2016,LAS,McCarran International,37,4
2/5/2016,LAS,McCarran International,41,13
2/7/2016,LAS,McCarran International,30,11
2/9/2016,LAS,McCarran International,48,11
2/11/2016,LAS,McCarran International,26,10
2/13/2016,LAS,McCarran International,41,10
2/15/2016,LAS,McCarran International,45,8
2/17/2016,LAS,McCarran International,43,10
2/19/2016,LAS,McCarran International,33,12
2/21/2016,LAS,McCarran International,43,15
2/23/2016,LAS,McCarran International,30,7
2/25/2016,LAS,McCarran International,44,15
2/27/2016,LAS,McCarran International,33,11
2/29/2016,LAS,McCarran International,39,14
1/1/2016,PHL,Philadelphia Intl,40,1
1/3/2016,PHL,Philadelphia Intl,34,15
1/5/2016,PHL,Philadelphia Intl,34,12
1/7/2016,PHL,Philadelphia Intl,37,11
1/9/2016,PHL,Philadelphia Intl,32,7
1/11/2016,PHL,Philadelphia Intl,45,12
1/13/2016,PHL,Philadelphia Intl,32,12
1/15/2016,PHL,Philadelphia Intl,35,19
1/17/2016,PHL,Philadelphia Intl,30,13
1/19/2016,PHL,Philadelphia Intl,50,12
1/21/2016,PHL,Philadelphia Intl,29,4
1/23/2016,PHL,Philadelphia Intl,35,11
1/25/2016,PHL,Philadelphia Intl,45,10
1/27/2016,PHL,Philadelphia Intl,40,10
1/29/2016,PHL,Philadelphia Intl,33,5
2/1/2016,PHL,Philadelphia Intl,28,11
2/3/2016,PHL,Philadelphia Intl,31,5
2/5/2016,PHL,Philadelphia Intl,44,13
2/7/2016,PHL,Philadelphia Intl,34,12
2/9/2016,PHL,Philadelphia Intl,31,13
2/11/2016,PHL,Philadelphia Intl,36,12
2/13/2016,PHL,Philadelphia Intl,31,18
2/15/2016,PHL,Philadelphia Intl,39,10
2/17/2016,PHL,Philadelphia Intl,23,14
2/19/2016,PHL,Philadelphia Intl,44,17
2/21/2016,PHL,Philadelphia Intl,27,12
2/23/2016,PHL,Philadelphia Intl,38,11
2/25/2016,PHL,Philadelphia Intl,35,13
2/27/2016,PHL,Philadelphia Intl,41,4
2/29/2016,PHL,Philadelphia Intl,33,10
1/1/2016,MSP,Minneapolis-St Paul Intl,43,16
1/3/2016,MSP,Minneapolis-St Paul Intl,39,16
1/5/2016,MSP,Minneapolis-St Paul Intl,39,13
1/7/2016,MSP,Minneapolis-St Paul Intl,43,16
1/9/2016,MSP,Minneapolis-St Paul Intl,40,15
1/11/2016,MSP,Minneapolis-St Paul Intl,38,18
1/13/2016,MSP,Minneapolis-St Paul Intl,41,11
1/15/2016,MSP,Minneapolis-St Paul Intl,41,16
1/17/2016,MSP,Minneapolis-St Paul Intl,39,16
1/19/2016,MSP,Minneapolis-St Paul Intl,49,16
1/21/2016,MSP,Minneapolis-St Paul Intl,25,8
1/23/2016,MSP,Minneapolis-St Paul Intl,24,18
1/25/2016,MSP,Minneapolis-St Paul Intl,38,6
1/27/2016,MSP,Minneapolis-St Paul Intl,41,18
1/29/2016,MSP,Minneapolis-St Paul Intl,40,13
2/1/2016,MSP,Minneapolis-St Paul Intl,35,11
2/3/2016,MSP,Minneapolis-St Paul Intl,31,11
2/5/2016,MSP,Minneapolis-St Paul Intl,38,19
2/7/2016,MSP,Minneapolis-St Paul Intl,39,11
2/9/2016,MSP,Minneapolis-St Paul Intl,43,16
2/11/2016,MSP,Minneapolis-St Paul Intl,38,1
2/13/2016,MSP,Minneapolis-St Paul Intl,49,18
2/15/2016,MSP,Minneapolis-St Paul Intl,34,14
2/17/2016,MSP,Minneapolis-St Paul Intl,40,16
2/19/2016,MSP,Minneapolis-St Paul Intl,44,1
2/21/2016,MSP,Minneapolis-St Paul Intl,37,17
2/23/2016,MSP,Minneapolis-St Paul Intl,34,5
2/25/2016,MSP,Minneapolis-St Paul Intl,48,11
2/27/2016,MSP,Minneapolis-St Paul Intl,41,18
2/29/2016,MSP,Minneapolis-St Paul Intl,44,10
1/1/2016,SEA,Seattle-Tacoma Intl,33,7
1/3/2016,SEA,Seattle-Tacoma Intl,34,19
1/5/2016,SEA,Seattle-Tacoma Intl,33,19
1/7/2016,SEA,Seattle-Tacoma Intl,34,14
1/9/2016,SEA,Seattle-Tacoma Intl,34,15
1/11/2016,SEA,Seattle-Tacoma Intl,33,10
1/13/2016,SEA,Seattle-Tacoma Intl,43,10
1/15/2016,SEA,Seattle-Tacoma Intl,36,17
1/17/2016,SEA,Seattle-Tacoma Intl,35,1
1/19/2016,SEA,Seattle-Tacoma Intl,30,11
1/21/2016,SEA,Seattle-Tacoma Intl,28,10
1/23/2016,SEA,Seattle-Tacoma Intl,41,14
1/25/2016,SEA,Seattle-Tacoma Intl,33,1
1/27/2016,SEA,Seattle-Tacoma Intl,46,10
1/29/2016,SEA,Seattle-Tacoma Intl,33,15
2/1/2016,SEA,Seattle-Tacoma Intl,30,13
2/3/2016,SEA,Seattle-Tacoma Intl,35,3
2/5/2016,SEA,Seattle-Tacoma Intl,34,17
2/7/2016,SEA,Seattle-Tacoma Intl,27,15
2/9/2016,SEA,Seattle-Tacoma Intl,27,12
2/11/2016,SEA,Seattle-Tacoma Intl,38,10
2/13/2016,SEA,Seattle-Tacoma Intl,39,17
2/15/2016,SEA,Seattle-Tacoma Intl,30,5
2/17/2016,SEA,Seattle-Tacoma Intl,37,18
2/19/2016,SEA,Seattle-Tacoma Intl,34,3
2/21/2016,SEA,Seattle-Tacoma Intl,43,15
2/23/2016,SEA,Seattle-Tacoma Intl,34,10
2/25/2016,SEA,Seattle-Tacoma Intl,41,15
2/27/2016,SEA,Seattle-Tacoma Intl,42,4
2/29/2016,SEA,Seattle-Tacoma Intl,50,12
1/1/2016,LGA,LaGuardia,35,19
1/3/2016,LGA,LaGuardia,50,12
1/5/2016,LGA,LaGuardia,29,6
1/7/2016,LGA,LaGuardia,41,18
1/9/2016,LGA,LaGuardia,36,12
1/11/2016,LGA,LaGuardia,40,12
1/13/2016,LGA,LaGuardia,41,3
1/15/2016,LGA,LaGuardia,44,11
1/17/2016,LGA,LaGuardia,41,6
1/19/2016,LGA,LaGuardia,45,15
1/21/2016,LGA,LaGuardia,25,17
1/23/2016,LGA,LaGuardia,47,12
1/25/2016,LGA,LaGuardia,29,9
1/27/2016,LGA,LaGuardia,45,10
1/29/2016,LGA,LaGuardia,29,10
2/1/2016,LGA,LaGuardia,33,18
2/3/2016,LGA,LaGuardia,33,4
2/5/2016,LGA,LaGuardia,31,13
2/7/2016,LGA,LaGuardia,42,15
2/9/2016,LGA,LaGuardia,35,14
2/11/2016,LGA,LaGuardia,45,11
2/13/2016,LGA,LaGuardia,35,20
2/15/2016,LGA,LaGuardia,31,3
2/17/2016,LGA,LaGuardia,39,11
2/19/2016,LGA,LaGuardia,30,2
2/21/2016,LGA,LaGuardia,28,15
2/23/2016,LGA,LaGuardia,29,10
2/25/2016,LGA,LaGuardia,44,14
2/27/2016,LGA,LaGuardia,27,2
2/29/2016,LGA,LaGuardia,38,11
1/1/2016,MDW,Chicago Midway,45,5
1/3/2016,MDW,Chicago Midway,31,16
1/5/2016,MDW,Chicago Midway,39,11
1/7/2016,MDW,Chicago Midway,30,15
1/9/2016,MDW,Chicago Midway,33,12
1/11/2016,MDW,Chicago Midway,35,17
1/13/2016,MDW,Chicago Midway,44,16
1/15/2016,MDW,Chicago Midway,47,12
1/17/2016,MDW,Chicago Midway,26,14
1/19/2016,MDW,Chicago Midway,30,15
1/21/2016,MDW,Chicago Midway,33,2
1/23/2016,MDW,Chicago Midway,43,10
1/25/2016,MDW,Chicago Midway,29,1
1/27/2016,MDW,Chicago Midway,33,17
