Date,direction,direction1,direction2
2/12/2017,30,19,16
2/13/2017,24,34,37
2/14/2017,21,35,13
2/15/2017,27,10,18
2/16/2017,12,43,26
2/17/2017,15,30,16
2/18/2017,19,20,22
2/19/2017,25,29,13
2/20/2017,13,6,5
2/21/2017,22,13,42
2/22/2017,27,15,10
2/23/2017,12,20,45
2/24/2017,6,16,18
2/25/2017,6,17,32
2/26/2017,11,28,12
2/27/2017,26,54,42
2/28/2017,26,41,20
3/1/2017,20,48,20
3/2/2017,10,27,18
3/3/2017,6,12,6
3/4/2017,30,22,41
3/5/2017,30,27,14
3/6/2017,23,5,45
3/7/2017,23,10,16
3/8/2017,24,31,20
3/9/2017,25,53,28
3/10/2017,20,24,34
3/11/2017,27,41,42
3/12/2017,23,22,42
3/13/2017,7,44,21
3/14/2017,27,31,10
3/15/2017,7,17,37
3/16/2017,6,54,21
3/17/2017,29,44,44
3/18/2017,9,52,25
3/19/2017,11,30,25
3/20/2017,17,43,38
3/21/2017,17,21,14
3/22/2017,9,30,12
3/23/2017,9,46,11
3/24/2017,5,9,31
3/25/2017,13,21,25
3/26/2017,11,34,27
3/27/2017,14,49,36
3/28/2017,5,30,36
3/29/2017,11,35,40
3/30/2017,25,44,44
3/31/2017,15,54,32
4/1/2017,15,46,24
4/2/2017,11,23,22
4/3/2017,23,58,17
4/4/2017,13,27,30
4/5/2017,26,22,17
4/6/2017,10,41,25
4/7/2017,17,29,33
4/8/2017,11,47,6
4/9/2017,30,48,10
4/10/2017,14,33,14
4/11/2017,25,34,41
4/12/2017,7,25,38
4/13/2017,23,8,30
4/14/2017,28,35,7
4/15/2017,6,48,27
4/16/2017,19,22,17
4/17/2017,13,44,13
4/18/2017,6,21,45
4/19/2017,6,29,43
4/20/2017,8,43,42
4/21/2017,9,14,45
4/22/2017,6,40,30
4/23/2017,28,51,33
4/24/2017,8,36,5
4/25/2017,28,48,21
4/26/2017,13,11,29
4/27/2017,29,38,35
4/28/2017,16,21,10
4/29/2017,10,50,8
4/30/2017,19,9,15
5/1/2017,14,53,26
5/2/2017,20,6,21
5/3/2017,22,17,20
5/4/2017,24,17,43
5/5/2017,24,55,43
5/6/2017,20,44,44
5/7/2017,19,45,38
5/8/2017,26,20,35
5/9/2017,15,39,22
5/10/2017,16,52,27
5/11/2017,11,44,19
5/12/2017,27,46,37
5/13/2017,12,24,42
5/14/2017,8,33,14
5/15/2017,5,27,19
5/16/2017,25,39,44
5/17/2017,11,24,14
5/18/2017,30,25,20
5/19/2017,8,9,18
5/20/2017,19,46,29
5/21/2017,21,11,35
5/22/2017,28,38,34
5/23/2017,23,33,12
5/24/2017,21,22,35
5/25/2017,25,23,38
5/26/2017,13,45,44
5/27/2017,8,36,19
5/28/2017,22,48,36
5/29/2017,8,7,15
5/30/2017,8,58,29
5/31/2017,20,28,23
6/1/2017,20,60,10
6/2/2017,17,38,38
6/3/2017,17,28,34
6/4/2017,23,40,8
6/5/2017,20,25,11
6/6/2017,14,37,30
6/7/2017,26,53,7
6/8/2017,16,50,22
6/9/2017,25,24,7
6/10/2017,30,20,19
6/11/2017,26,31,15
6/12/2017,7,35,6
6/13/2017,29,26,11
6/14/2017,9,20,9
6/15/2017,11,46,27
6/16/2017,12,45,30
6/17/2017,20,49,18
6/18/2017,19,47,5
6/19/2017,13,40,44
6/20/2017,17,19,28
6/21/2017,22,36,44
6/22/2017,25,40,18
6/23/2017,19,28,30
6/24/2017,21,38,34
6/25/2017,16,19,15
6/26/2017,7,60,18
6/27/2017,7,27,9
6/28/2017,25,15,6
6/29/2017,22,27,13
6/30/2017,12,59,9
7/1/2017,30,8,29
7/2/2017,16,49,23
7/3/2017,26,43,15
7/4/2017,27,46,44
7/5/2017,16,21,21
7/6/2017,6,27,30
7/7/2017,27,57,33
7/8/2017,10,29,36
7/9/2017,7,53,22
7/10/2017,23,5,18
7/11/2017,19,31,12
7/12/2017,18,24,28
7/13/2017,10,34,5
7/14/2017,20,24,31
7/15/2017,17,32,7
7/16/2017,8,19,8
7/17/2017,12,24,30
7/18/2017,10,17,33
7/19/2017,18,32,11
7/20/2017,10,15,6
7/21/2017,23,37,38
7/22/2017,27,33,42
7/23/2017,18,18,42
7/24/2017,29,32,11
7/25/2017,25,10,29
7/26/2017,26,41,41
7/27/2017,30,8,38
7/28/2017,25,57,26
7/29/2017,21,9,28
7/30/2017,20,40,38
7/31/2017,27,20,8
8/1/2017,27,54,8
8/2/2017,17,5,12
8/3/2017,28,57,34
8/4/2017,20,60,16
8/5/2017,13,55,44
8/6/2017,26,52,26
8/7/2017,10,44,42
8/8/2017,7,27,25
8/9/2017,5,60,35
8/10/2017,14,31,36
8/11/2017,24,36,41
8/12/2017,10,52,36
8/13/2017,7,34,23
8/14/2017,14,21,37
8/15/2017,10,29,20
8/16/2017,9,54,9
8/17/2017,29,13,43
8/18/2017,23,42,42
8/19/2017,8,18,32
8/20/2017,25,56,8
8/21/2017,6,50,34
8/22/2017,19,22,20
8/23/2017,29,34,44
8/24/2017,5,43,19
8/25/2017,28,19,29
8/26/2017,25,20,36
8/27/2017,14,7,42
8/28/2017,13,11,17
8/29/2017,10,20,21
8/30/2017,9,19,32
8/31/2017,26,33,39
9/1/2017,28,7,6
9/2/2017,26,55,41
9/3/2017,25,39,10
9/4/2017,21,25,33
9/5/2017,25,37,45
9/6/2017,16,16,27
9/7/2017,6,7,34
9/8/2017,12,16,9
9/9/2017,24,33,45
9/10/2017,21,30,34
9/11/2017,14,51,9
9/12/2017,15,34,38
9/13/2017,24,43,18
9/14/2017,8,7,29
9/15/2017,23,32,13
9/16/2017,23,32,22
9/17/2017,23,46,30
9/18/2017,30,25,25
9/19/2017,28,30,13
9/20/2017,17,20,42
9/21/2017,17,20,23
9/22/2017,14,14,36
9/23/2017,28,7,23
9/24/2017,7,11,12
9/25/2017,26,43,26
9/26/2017,7,48,27
9/27/2017,28,39,17
9/28/2017,14,49,32
9/29/2017,25,9,22
9/30/2017,11,48,43
1/1/2016,15,10,36
1/2/2016,18,22,18
1/3/2016,14,27,12
1/4/2016,6,22,43
1/5/2016,11,9,23
1/6/2016,23,44,42
1/7/2016,28,27,6
1/8/2016,12,11,29
1/9/2016,29,26,5
1/10/2016,13,55,40
1/11/2016,20,16,38
1/12/2016,22,31,14
1/13/2016,18,16,28
1/14/2016,24,5,44
1/15/2016,25,16,13
1/16/2016,30,31,12
1/17/2016,9,47,24
1/18/2016,8,14,30
1/19/2016,5,8,8
1/20/2016,6,49,30
1/21/2016,16,29,37
1/22/2016,13,11,31
1/23/2016,12,42,35
1/24/2016,7,12,18
1/25/2016,21,6,35
1/26/2016,16,50,21
1/27/2016,13,32,18
1/28/2016,21,25,38
1/29/2016,6,17,39
1/30/2016,28,32,34
1/31/2016,10,44,23
2/1/2016,16,23,34
2/2/2016,26,17,24
2/3/2016,21,24,9
2/4/2016,27,46,44
2/5/2016,8,38,35
2/6/2016,13,40,20
2/7/2016,12,32,23
2/8/2016,28,43,32
2/9/2016,15,36,28
2/10/2016,21,31,14
2/11/2016,7,20,36
2/12/2016,12,18,41
2/13/2016,12,45,15
2/14/2016,10,19,37
2/15/2016,26,38,7
2/16/2016,27,40,29
2/17/2016,20,48,21
2/18/2016,16,56,44
2/19/2016,7,14,22
2/20/2016,12,30,22
2/21/2016,7,11,39
2/22/2016,12,25,19
2/23/2016,14,28,24
2/24/2016,13,28,7
2/25/2016,26,11,18
2/26/2016,20,6,37
2/27/2016,20,50,19
2/28/2016,19,42,41
2/29/2016,8,39,44
3/1/2016,25,49,37
3/2/2016,23,53,38
3/3/2016,6,49,43
3/4/2016,13,41,30
3/5/2016,23,14,44
3/6/2016,24,45,19
3/7/2016,7,36,44
3/8/2016,14,52,42
3/9/2016,14,9,34
3/10/2016,27,19,30
3/11/2016,13,19,9
3/12/2016,29,33,27
3/13/2016,22,37,12
3/14/2016,6,58,20
3/15/2016,17,50,43
3/16/2016,10,54,44
3/17/2016,30,42,32
3/18/2016,6,18,7
3/19/2016,29,28,41
3/20/2016,15,43,30
3/21/2016,27,16,42
3/22/2016,9,45,12
3/23/2016,22,31,16
3/24/2016,18,50,30
3/25/2016,12,16,32
3/26/2016,13,9,31
3/27/2016,22,24,20
3/28/2016,22,27,10
3/29/2016,24,13,34
3/30/2016,10,21,24
3/31/2016,6,7,13
4/1/2016,27,52,29
4/2/2016,9,10,28
4/3/2016,21,12,24
4/4/2016,17,36,6
4/5/2016,18,6,5
4/6/2016,17,7,31
4/7/2016,5,54,14
4/8/2016,15,30,45
4/9/2016,10,38,29
4/10/2016,14,17,32
4/11/2016,22,25,30
4/12/2016,14,38,13
4/13/2016,29,27,26
4/14/2016,19,29,37
4/15/2016,7,60,13
4/16/2016,30,11,8
4/17/2016,14,8,41
4/18/2016,16,8,9
4/19/2016,7,34,32
4/20/2016,10,31,29
4/21/2016,16,32,7
4/22/2016,17,22,39
4/23/2016,9,18,39
4/24/2016,25,25,13
4/25/2016,21,30,41
4/26/2016,24,20,28
4/27/2016,27,9,18
4/28/2016,29,33,22
4/29/2016,17,28,14
4/30/2016,21,31,32
5/1/2016,5,34,38
5/2/2016,13,25,38
5/3/2016,13,21,5
5/4/2016,6,17,42
5/5/2016,5,58,14
5/6/2016,6,60,37
5/7/2016,27,40,20
5/8/2016,12,59,19
5/9/2016,16,8,12
5/10/2016,23,60,8
5/11/2016,23,15,28
5/12/2016,26,50,8
5/13/2016,26,9,24
5/14/2016,27,38,38
5/15/2016,17,39,14
5/16/2016,8,52,14
5/17/2016,29,29,21
5/18/2016,11,49,17
5/19/2016,6,27,27
5/20/2016,7,22,21
5/21/2016,26,49,20
5/22/2016,18,28,22
5/23/2016,27,49,45
5/24/2016,8,33,31
5/25/2016,18,17,34
5/26/2016,30,43,7
5/27/2016,10,49,43
5/28/2016,12,6,19
5/29/2016,18,9,18
5/30/2016,25,45,36
5/31/2016,11,43,19
6/1/2016,9,57,27
6/2/2016,26,12,33
6/3/2016,20,23,44
6/4/2016,24,16,26
6/5/2016,30,53,13
6/6/2016,28,27,22
6/7/2016,28,31,25
6/8/2016,6,16,11
6/9/2016,28,39,23
6/10/2016,8,49,15
6/11/2016,6,40,15
6/12/2016,15,59,25
6/13/2016,8,36,38
6/14/2016,15,23,10
6/15/2016,21,49,29
6/16/2016,5,24,20
6/17/2016,28,15,26
6/18/2016,19,39,28
6/19/2016,29,59,28
6/20/2016,25,59,35
6/21/2016,17,33,35
6/22/2016,12,42,40
6/23/2016,9,14,36
6/24/2016,26,29,18
6/25/2016,6,39,38
6/26/2016,12,12,31
6/27/2016,25,35,31
6/28/2016,21,24,20
6/29/2016,24,53,37
6/30/2016,27,46,8
7/1/2016,5,39,39
7/2/2016,10,45,5
7/3/2016,7,24,20
7/4/2016,19,29,11
7/5/2016,30,13,17
7/6/2016,20,46,20
7/7/2016,29,31,34
7/8/2016,12,40,6
7/9/2016,27,27,8
7/10/2016,29,60,27
7/11/2016,19,43,31
7/12/2016,26,16,35
7/13/2016,29,48,15
7/14/2016,8,33,39
7/15/2016,18,16,42
7/16/2016,6,31,15
7/17/2016,17,47,19
7/18/2016,26,51,18
7/19/2016,10,43,34
7/20/2016,11,14,35
7/21/2016,24,16,18
7/22/2016,28,39,30
7/23/2016,8,57,14
7/24/2016,27,5,20
7/25/2016,7,60,34
7/26/2016,29,6,45
7/27/2016,30,59,18
7/28/2016,22,24,11
7/29/2016,16,7,33
7/30/2016,21,17,12
7/31/2016,27,14,11
8/1/2016,25,16,27
8/2/2016,11,50,43
8/3/2016,18,27,34
8/4/2016,15,46,32
8/5/2016,17,37,20
8/6/2016,9,33,31
8/7/2016,14,31,29
8/8/2016,20,36,15
8/9/2016,29,52,23
8/10/2016,14,30,13
8/11/2016,17,47,34
8/12/2016,28,38,38
8/13/2016,12,51,11
8/14/2016,13,20,42
8/15/2016,21,42,28
8/16/2016,20,8,24
8/17/2016,16,33,36
8/18/2016,5,48,36
8/19/2016,24,19,35
8/20/2016,30,16,16
8/21/2016,5,25,44
8/22/2016,5,43,29
8/23/2016,13,54,40
8/24/2016,22,24,8
8/25/2016,12,8,38
8/26/2016,8,25,10
8/27/2016,8,28,20
8/28/2016,5,19,7
8/29/2016,17,7,44
8/30/2016,13,11,34
8/31/2016,14,40,15
9/1/2016,10,15,29
9/2/2016,5,10,40
9/3/2016,16,59,17
9/4/2016,15,34,44
9/5/2016,21,53,43
9/6/2016,14,11,37
9/7/2016,9,11,27
9/8/2016,20,33,27
9/9/2016,15,21,14
9/10/2016,15,11,23
9/11/2016,22,22,40
9/12/2016,19,55,11
9/13/2016,21,52,26
9/14/2016,20,22,15
9/15/2016,30,53,25
9/16/2016,6,27,23
9/17/2016,12,46,29
9/18/2016,6,36,10
9/19/2016,19,30,8
9/20/2016,29,29,30
9/21/2016,22,51,41
9/22/2016,17,23,28
9/23/2016,16,32,32
9/24/2016,14,25,17
9/25/2016,8,23,25
9/26/2016,18,5,18
9/27/2016,28,27,36
9/28/2016,21,50,21
9/29/2016,12,27,18
9/30/2016,19,26,30
10/1/2016,22,24,26
10/2/2016,28,57,44
10/3/2016,5,22,29
10/4/2016,13,53,14
10/5/2016,5,34,23
10/6/2016,23,47,9
10/7/2016,22,13,7
10/8/2016,29,23,11
10/9/2016,28,9,15
10/10/2016,18,23,40
10/11/2016,24,12,40
10/12/2016,15,38,21
10/13/2016,20,23,38
10/14/2016,22,58,13
10/15/2016,19,12,31
10/16/2016,21,20,18
10/17/2016,16,31,21
10/18/2016,18,31,17
10/19/2016,24,9,10
10/20/2016,14,32,19
10/21/2016,5,29,6
10/22/2016,6,8,12
10/23/2016,21,18,43
10/24/2016,16,26,33
10/25/2016,23,10,19
10/26/2016,20,6,23
10/27/2016,15,30,35
10/28/2016,7,29,33
10/29/2016,30,21,41
10/30/2016,21,24,40
10/31/2016,16,37,16
11/1/2016,22,31,7
11/2/2016,6,27,16
11/3/2016,15,45,36
11/4/2016,25,49,32
11/5/2016,12,42,29
11/6/2016,22,36,13
11/7/2016,21,10,22
11/8/2016,27,48,37
11/9/2016,9,35,12
11/10/2016,24,58,29
11/11/2016,29,38,21
11/12/2016,6,41,11
11/13/2016,9,11,42
11/14/2016,14,51,19
11/15/2016,9,24,9
11/16/2016,23,14,31
11/17/2016,7,45,7
11/18/2016,29,28,8
11/19/2016,19,11,31
11/20/2016,13,36,33
11/21/2016,15,43,40
11/22/2016,28,45,42
11/23/2016,19,48,28
11/24/2016,27,34,14
11/25/2016,29,44,23
11/26/2016,20,37,16
11/27/2016,28,60,24
11/28/2016,16,38,18
11/29/2016,16,51,43
11/30/2016,20,58,24
12/1/2016,15,18,5
12/2/2016,12,30,43
12/3/2016,12,51,27
12/4/2016,12,48,9
12/5/2016,11,38,43
12/6/2016,24,31,26
12/7/2016,25,21,30
12/8/2016,27,42,32
12/9/2016,21,17,27
12/10/2016,14,53,25
12/11/2016,23,29,35
12/12/2016,21,27,9
12/13/2016,8,6,41
12/14/2016,15,9,43
12/15/2016,17,50,43
12/16/2016,25,43,36
12/17/2016,28,33,25
12/18/2016,28,28,13
12/19/2016,5,42,40
12/20/2016,7,25,45
12/21/2016,18,45,5
12/22/2016,15,29,14
12/23/2016,12,11,34
12/24/2016,12,40,27
12/25/2016,7,51,24
12/26/2016,13,32,45
12/27/2016,7,59,18
12/28/2016,8,55,41
12/29/2016,23,52,10
12/30/2016,27,35,35
12/31/2016,24,10,24
