Date,Weather_Delay,Security_Delay,Tech_Delay
2017-04-24,14,11,21
2017-04-25,26,24,18
2017-04-26,29,26,22
2017-04-27,27,12,27
2017-04-28,27,20,14
2017-04-29,29,11,30
2017-04-30,13,18,28
2017-05-01,5,17,18
2017-05-02,6,8,15
2017-05-03,13,15,23
2017-05-04,13,28,25
2017-05-05,15,10,25
2017-05-06,30,15,21
2017-05-07,30,7,18
2017-05-08,13,23,24
2017-05-09,14,10,27
2017-05-10,13,30,17
2017-05-11,20,13,10
2017-05-12,5,23,17
2017-05-13,12,5,8
2017-05-14,10,19,7
2017-05-15,26,23,30
2017-05-16,9,24,25
2017-05-17,13,7,9
2017-05-18,5,6,28
2017-05-19,8,5,16
2017-05-20,14,18,24
2017-05-21,30,30,29
2017-05-22,11,19,18
2017-05-23,18,30,17
2017-05-24,7,21,26
2017-05-25,10,6,28
2017-05-26,26,15,16
2017-05-27,23,9,28
2017-05-28,21,11,28
2017-05-29,14,19,10
2017-05-30,21,5,13
2017-05-31,6,6,21
2017-06-01,5,10,17
2017-06-02,13,19,19
2017-06-03,21,23,7
2017-06-04,28,26,18
2017-06-05,28,22,9
2017-06-06,10,9,20
2017-06-07,20,27,17
2017-06-08,28,16,20
2017-06-09,28,27,28
2017-06-10,9,14,11
2017-06-11,21,23,17
2017-06-12,16,22,20
2017-06-13,25,22,27
2017-06-14,29,14,27
2017-06-15,20,17,7
2017-06-16,12,22,20
2017-06-17,21,12,26
2017-06-18,18,5,28
2017-06-19,26,16,22
2017-06-20,5,26,9
2017-06-21,5,24,5
2017-06-22,17,24,30
2017-06-23,9,16,20
2017-06-24,13,25,12
2017-06-25,29,17,15
2017-06-26,6,21,25
2017-06-27,19,30,21
2017-06-28,6,9,21
2017-06-29,15,23,8
2017-06-30,7,18,22
2017-07-01,8,30,22
2017-07-02,10,10,28
2017-07-03,14,27,22
2017-07-04,26,27,17
2017-07-05,19,9,11
2017-07-06,6,10,22
2017-07-07,10,27,22
2017-07-08,6,26,26
2017-07-09,11,17,25
2017-07-10,26,18,16
2017-07-11,18,26,5
2017-07-12,23,16,6
2017-07-13,7,26,19
2017-07-14,26,10,26
2017-07-15,11,12,13
2017-07-16,5,11,5
2017-07-17,7,28,14
2017-07-18,13,27,13
2017-07-19,6,26,13
2017-07-20,7,16,24
2017-07-21,10,25,18
2017-07-22,8,9,16
2017-07-23,13,12,15
2017-07-24,8,12,6
2017-07-25,15,15,22
2017-07-26,18,7,21
2017-07-27,26,9,27
2017-07-28,9,10,29
2017-07-29,19,17,7
2017-07-30,21,26,30
2017-07-31,11,19,20
2017-08-01,19,30,26
2017-08-02,6,25,7
2017-08-03,27,15,25
2017-08-04,12,10,15
2017-08-05,22,20,10
2017-08-06,6,17,27
2017-08-07,23,29,11
2017-08-08,16,15,24
2017-08-09,6,13,18
2017-08-10,21,28,10
2017-08-11,19,6,27
2017-08-12,21,17,18
2017-08-13,20,30,28
2017-08-14,8,29,7
2017-08-15,26,20,30
2017-08-16,12,30,24
2017-08-17,5,22,11
2017-08-18,16,28,13
2017-08-19,25,12,16
2017-08-20,10,15,10
2017-08-21,15,5,22
2017-08-22,6,25,10
2017-08-23,12,5,18
2017-08-24,10,24,11
2017-08-25,11,7,23
2017-08-26,17,13,18
2017-08-27,18,21,5
2017-08-28,15,18,25
2017-08-29,14,13,10
2017-08-30,18,11,22
2017-08-31,11,29,27
2017-09-01,14,19,11
2017-09-02,21,9,18
2017-09-03,18,21,7
2017-09-04,30,8,26
2017-09-05,19,23,20
2017-09-06,7,13,15
2017-09-07,13,7,19
2017-09-08,21,21,27
2017-09-09,28,16,14
2017-09-10,21,21,12
2017-09-11,9,24,22
2017-09-12,22,12,19
2017-09-13,21,15,7
2017-09-14,27,20,18
2017-09-15,26,14,7
2017-09-16,9,24,23
2017-09-17,13,11,26
2017-09-18,18,9,15
2017-09-19,12,29,7
2017-09-20,28,19,18
2017-09-21,7,17,27
2017-09-22,8,8,19
2017-09-23,19,22,17
2017-09-24,26,23,18
2017-09-25,23,9,24
2017-09-26,25,16,11
2017-09-27,27,12,29
2017-09-28,30,8,21
2017-09-29,24,30,19
2017-09-30,23,16,21
2016-01-01,25,12,27
2016-01-02,17,10,6
2016-01-03,24,24,21
2016-01-04,26,8,18
2016-01-05,6,20,28
2016-01-06,11,25,27
2016-01-07,16,22,16
2016-01-08,20,15,11
2016-01-09,17,10,27
2016-01-10,10,28,22
2016-01-11,26,16,13
2016-01-12,5,7,8
2016-01-13,15,30,19
2016-01-14,22,13,17
2016-01-15,12,27,28
2016-01-16,27,18,21
2016-01-17,26,11,9
2016-01-18,11,12,17
2016-01-19,26,15,11
2016-01-20,21,20,14
2016-01-21,20,29,24
2016-01-22,16,13,10
2016-01-23,19,30,6
2016-01-24,17,19,20
2016-01-25,28,9,10
2016-01-26,23,24,18
2016-01-27,17,23,24
2016-01-28,11,28,17
2016-01-29,17,12,22
2016-01-30,13,11,24
2016-01-31,20,24,7
2016-02-01,30,6,15
2016-02-02,9,17,30
2016-02-03,26,21,26
2016-02-04,29,19,21
2016-02-05,7,12,7
2016-02-06,18,27,7
2016-02-07,26,28,29
2016-02-08,12,8,18
2016-02-09,9,25,7
2016-02-10,24,8,21
2016-02-11,12,6,30
2016-02-12,15,23,21
2016-02-13,24,20,12
2016-02-14,9,15,19
2016-02-15,17,9,21
2016-02-16,15,24,18
2016-02-17,26,28,29
2016-02-18,17,13,10
2016-02-19,29,23,11
2016-02-20,25,26,8
2016-02-21,13,16,27
2016-02-22,30,24,24
2016-02-23,18,30,27
2016-02-24,8,21,5
2016-02-25,16,25,25
2016-02-26,28,12,27
2016-02-27,17,29,9
2016-02-28,20,13,16
2016-02-29,5,29,5
2016-03-01,15,30,12
2016-03-02,14,15,29
2016-03-03,12,22,14
2016-03-04,29,14,28
2016-03-05,30,21,9
2016-03-06,17,27,9
2016-03-07,9,26,11
2016-03-08,21,5,24
2016-03-09,27,16,25
2016-03-10,19,29,21
2016-03-11,6,18,6
2016-03-12,18,23,27
2016-03-13,5,22,5
2016-03-14,24,30,26
2016-03-15,12,7,13
2016-03-16,17,26,15
2016-03-17,30,29,24
2016-03-18,25,30,17
2016-03-19,24,17,22
2016-03-20,14,25,23
2016-03-21,17,16,9
2016-03-22,22,18,22
2016-03-23,15,7,8
2016-03-24,21,10,13
2016-03-25,16,8,17
2016-03-26,5,14,30
2016-03-27,10,28,12
2016-03-28,16,14,14
2016-03-29,23,19,13
2016-03-30,17,26,27
2016-03-31,30,27,25
2016-04-01,22,20,13
2016-04-02,20,30,11
2016-04-03,27,11,26
2016-04-04,30,20,22
2016-04-05,19,13,29
2016-04-06,17,10,24
2016-04-07,30,29,21
2016-04-08,17,27,22
2016-04-09,12,11,9
2016-04-10,11,28,26
2016-04-11,12,5,24
2016-04-12,15,30,8
2016-04-13,7,6,8
2016-04-14,11,19,21
2016-04-15,18,21,25
2016-04-16,5,19,18
2016-04-17,6,15,20
2016-04-18,27,19,9
2016-04-19,22,9,5
2016-04-20,22,15,25
2016-04-21,10,7,24
2016-04-22,9,7,10
2016-04-23,6,25,21
2016-04-24,25,25,20
2016-04-25,8,10,21
2016-04-26,6,12,27
2016-04-27,13,18,5
2016-04-28,28,14,11
2016-04-29,16,19,20
2016-04-30,12,8,15
2016-05-01,10,24,9
2016-05-02,10,16,13
2016-05-03,10,21,27
2016-05-04,8,13,19
2016-05-05,29,14,26
2016-05-06,16,17,13
2016-05-07,5,29,20
2016-05-08,12,15,19
2016-05-09,21,13,20
2016-05-10,28,27,20
2016-05-11,12,5,10
2016-05-12,18,15,6
2016-05-13,6,17,10
2016-05-14,27,10,6
2016-05-15,27,17,8
2016-05-16,21,24,20
2016-05-17,19,15,13
2016-05-18,19,18,9
2016-05-19,21,13,7
2016-05-20,20,19,6
2016-05-21,13,13,27
2016-05-22,23,18,17
2016-05-23,6,20,18
2016-05-24,16,26,8
2016-05-25,22,16,8
2016-05-26,27,6,21
2016-05-27,9,14,20
2016-05-28,6,21,20
2016-05-29,7,5,7
2016-05-30,26,18,22
2016-05-31,28,26,11
2016-06-01,7,14,24
2016-06-02,14,15,16
2016-06-03,9,16,14
2016-06-04,27,13,7
2016-06-05,12,5,5
2016-06-06,20,15,21
2016-06-07,20,25,13
2016-06-08,14,10,19
2016-06-09,14,15,30
2016-06-10,9,28,22
2016-06-11,30,11,27
2016-06-12,14,29,30
2016-06-13,22,10,25
2016-06-14,28,13,26
2016-06-15,15,16,23
2016-06-16,24,28,18
2016-06-17,10,16,21
2016-06-18,29,8,17
2016-06-19,11,23,29
2016-06-20,30,26,24
2016-06-21,6,8,15
2016-06-22,19,16,12
2016-06-23,7,24,12
2016-06-24,30,25,7
2016-06-25,21,26,18
2016-06-26,27,17,10
2016-06-27,8,7,13
2016-06-28,25,13,29
2016-06-29,19,6,29
2016-06-30,27,11,29
2016-07-01,16,14,30
2016-07-02,11,6,8
2016-07-03,14,8,16
2016-07-04,27,11,19
2016-07-05,28,29,18
2016-07-06,25,18,29
2016-07-07,21,8,23
2016-07-08,25,17,19
2016-07-09,17,18,17
2016-07-10,15,10,28
2016-07-11,23,21,21
2016-07-12,8,24,8
2016-07-13,7,5,9
2016-07-14,8,12,8
2016-07-15,13,29,7
2016-07-16,7,18,26
2016-07-17,12,24,21
2016-07-18,8,29,19
2016-07-19,5,26,13
2016-07-20,18,13,14
2016-07-21,13,15,17
2016-07-22,24,29,19
2016-07-23,25,23,9
2016-07-24,11,16,13
2016-07-25,28,15,15
2016-07-26,26,9,10
2016-07-27,24,22,21
2016-07-28,21,30,19
2016-07-29,10,6,5
2016-07-30,25,22,29
2016-07-31,16,21,19
2016-08-01,21,5,9
2016-08-02,7,5,24
2016-08-03,13,20,16
2016-08-04,9,24,22
2016-08-05,11,28,21
2016-08-06,20,23,27
2016-08-07,11,6,28
2016-08-08,24,16,14
2016-08-09,22,26,25
2016-08-10,25,26,16
2016-08-11,17,7,17
2016-08-12,5,6,8
2016-08-13,10,6,17
2016-08-14,19,20,13
2016-08-15,14,11,19
2016-08-16,24,24,29
2016-08-17,14,10,6
2016-08-18,20,25,16
2016-08-19,11,28,21
2016-08-20,23,11,22
2016-08-21,24,18,15
2016-08-22,14,27,17
2016-08-23,29,23,13
2016-08-24,15,18,19
2016-08-25,10,29,6
2016-08-26,21,23,15
2016-08-27,25,13,23
2016-08-28,18,25,22
2016-08-29,8,29,14
2016-08-30,10,24,28
2016-08-31,22,27,12
2016-09-01,8,8,28
2016-09-02,26,26,15
2016-09-03,13,29,19
2016-09-04,20,14,15
2016-09-05,19,15,30
2016-09-06,21,24,30
2016-09-07,13,10,22
2016-09-08,14,9,12
2016-09-09,24,15,10
2016-09-10,29,20,11
2016-09-11,5,21,24
2016-09-12,17,24,20
2016-09-13,12,27,9
2016-09-14,16,14,12
2016-09-15,14,15,15
2016-09-16,18,9,7
2016-09-17,14,27,17
2016-09-18,8,16,20
2016-09-19,17,6,10
2016-09-20,29,30,17
2016-09-21,8,19,23
2016-09-22,21,30,13
2016-09-23,5,26,11
2016-09-24,29,7,11
2016-09-25,16,22,22
2016-09-26,10,8,11
2016-09-27,13,19,8
2016-09-28,20,10,26
2016-09-29,12,13,6
2016-09-30,6,7,5
2016-10-01,28,9,27
2016-10-02,30,6,5
2016-10-03,26,27,7
2016-10-04,7,14,9
2016-10-05,11,17,17
2016-10-06,20,20,15
2016-10-07,19,24,10
2016-10-08,17,6,30
2016-10-09,17,14,17
2016-10-10,22,20,18
2016-10-11,27,26,24
2016-10-12,18,26,5
2016-10-13,22,18,30
2016-10-14,29,26,13
2016-10-15,16,11,28
2016-10-16,16,18,29
2016-10-17,12,28,16
2016-10-18,29,17,25
2016-10-19,12,28,21
2016-10-20,5,22,21
2016-10-21,28,23,18
2016-10-22,10,15,24
2016-10-23,7,5,20
2016-10-24,17,25,26
2016-10-25,10,13,27
2016-10-26,10,5,16
2016-10-27,10,27,22
2016-10-28,12,17,25
2016-10-29,26,21,5
2016-10-30,16,15,30
2016-10-31,15,23,23
2016-11-01,10,13,28
2016-11-02,8,29,30
2016-11-03,19,12,27
2016-11-04,16,10,6
2016-11-05,8,13,25
2016-11-06,27,6,24
2016-11-07,12,6,21
2016-11-08,21,20,20
2016-11-09,27,20,9
2016-11-10,6,29,21
2016-11-11,27,23,23
2016-11-12,6,21,9
2016-11-13,27,16,6
2016-11-14,21,10,26
2016-11-15,22,23,25
2016-11-16,6,5,18
2016-11-17,20,15,7
2016-11-18,20,10,7
2016-11-19,14,14,21
2016-11-20,9,20,23
2016-11-21,30,9,13
2016-11-22,14,16,30
2016-11-23,21,5,26
2016-11-24,22,27,24
2016-11-25,14,13,23
2016-11-26,10,27,12
2016-11-27,17,23,22
2016-11-28,25,14,7
2016-11-29,19,6,11
2016-11-30,11,27,24
2016-12-01,6,29,6
2016-12-02,16,22,9
2016-12-03,14,7,30
2016-12-04,15,16,7
2016-12-05,30,14,18
2016-12-06,11,13,26
2016-12-07,27,16,10
2016-12-08,17,8,7
2016-12-09,9,26,6
2016-12-10,19,20,12
2016-12-11,19,22,27
2016-12-12,29,8,21
2016-12-13,5,21,5
2016-12-14,19,15,17
2016-12-15,21,29,16
2016-12-16,26,7,30
2016-12-17,9,24,9
2016-12-18,18,13,12
2016-12-19,16,7,21
2016-12-20,25,19,14
2016-12-21,8,26,28
2016-12-22,8,18,25
2016-12-23,19,26,10
2016-12-24,14,13,17
2016-12-25,17,10,14
2016-12-26,16,29,21
2016-12-27,27,19,17
2016-12-28,26,13,11
2016-12-29,24,23,23
2016-12-30,5,11,18
2016-12-31,6,10,5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
